place_id,lugar_id,place_name,standardize_label,alt_names,place_type,es_parte,latitude,longitude,language,source,uri,country_code,mentioned_as
1,1,Accanta,Accanta,,caserio,,-14.15538,-74.14154,es,Grecia Roque (collaborator GIS data),,PE,['Accanta']
2,2,Accenana,Accenana,,caserio,,-14.20972,-74.06929,es,Grecia Roque (collaborator GIS data),,PE,"['Accenana', 'Accenana, caserio']"
3,3,Acobamba,Acobamba,,iglesia parroquial,,-12.84438,-74.57341,es,Grecia Roque (collaborator GIS data),,PE,['Acobamba']
4,4,Alcamenca,Alcamenca,Alcamenga,pueblo,79,-13.65741,-74.14712,es,Grecia Roque (collaborator GIS data),,PE,"['Alcamenca', 'Alcamenga']"
5,5,Amaycca,Amaycca,Amaicca|Amaica,caserio,,-14.16048,-74.01614,es,Grecia Roque (collaborator GIS data),,PE,"['Amaicca', 'Amaica']"
6,6,Andamarca,Andamarca,,pueblo,11,-14.38758,-73.96198,es,Grecia Roque (collaborator GIS data),,PE,['Andamarca']
7,7,Chuschi,Chuschi,,parroquia,,-13.58502,-74.352,es,Grecia Roque (collaborator GIS data),,PE,['Chuschi']
8,8,Aucará,Aucará,Aucara|Apcara,iglesia parroquial|cementerio o panteón,,-14.28099,-73.97489,es,Grecia Roque (collaborator GIS data),,PE,"['Aucara', 'Aucara, Otoca', 'Aucara, panteon general', 'Aucara, panteón general', 'Aucará', 'Apcara']"
9,9,Ayacucho|Huamanga,Ayacucho,Huamanga,ciudad,,-13.16042,-74.22573,es,Grecia Roque (collaborator GIS data),,PE,"['Ayacucho', 'Ayacuchoi', 'Huamanga']"
10,10,Bisbicha,Bisbicha,Visvicha,caserio|cementerio o panteón,,-14.18333,-74.14321,es,Grecia Roque (collaborator GIS data),,PE,"['Visvicha', 'Visvicha, panteon', 'Visvicha, panteón']"
11,11,Cabana,Cabana,,iglesia parroquial,,-14.28857,-73.96711,es,Grecia Roque (collaborator GIS data),,PE,"['Cabana', 'Cavana']"
