raw_mention,lugar_id,score,match_type
Accanta,1.0,100,exact
Accenana,2.0,100,exact
"Accenana, caserio",2.0,95,exact_head
Acobamba,3.0,100,exact
Alcamenca,4.0,100,exact
Amaicca,5.0,100,exact
Andamarca,6.0,100,exact
Antay,65.0,100,exact
Apongo,64.0,100,exact
Aralla,80.0,100,exact
Aucara,8.0,100,exact
Aucara Barrio de Mayo,,0,unmatched
Aucara Cabana,,0,unmatched
Aucara Caserio de Visvicha,,0,unmatched
Aucara Estancia de Chapa,,0,unmatched
Aucara Huaycahuacho,,0,unmatched
"Aucara, Otoca",8.0,95,exact_head
"Aucara, panteon general",8.0,95,exact_head
"Aucara, panteón general",8.0,95,exact_head
Aucará,8.0,100,exact
Ayacucho,9.0,100,exact
Ayacuchoi,9.0,94,fuzzy
Barrio de Mayo,,0,unmatched
Cabana,11.0,100,exact
Cachihuancaray,68.0,100,exact
Cacralla (sic),,0,unmatched
Canaria,12.0,100,exact
Cangallo,66.0,100,exact
Carahuanca,14.0,100,exact
Caralla,80.0,100,exact
Caranpa,69.0,100,exact
Carapo,13.0,100,exact
Carhuanca,14.0,100,exact
Carmen Alto,15.0,100,exact
Caserios de Saicasa,,0,unmatched
Castilla,,0,unmatched
Cavana,11.0,83,fuzzy
Cayara,16.0,100,exact
Ccanto,,0,unmatched
Ccaralla,80.0,100,exact
Ccecca,17.0,100,exact
Cecca,17.0,100,exact
Cecca Aucara,,0,unmatched
Cementerio General,,0,unmatched
Cementerio General de Aucará,,0,unmatched
Cementerio de Aucará,,0,unmatched
Cementerio de Pampamarca,,0,unmatched
Cementerio de Visvicha,,0,unmatched
Cementerio de las Punas de Visvicha,,0,unmatched
Cementerio general,,0,unmatched
Cementerio general  Aucará,,0,unmatched
Cementerio general  Chacralla,,0,unmatched
Cementerio general  Pampamarca,,0,unmatched
Cementerio general de Aucara,,0,unmatched
Cementerio general de Pampamarca,,0,unmatched
Cementerio general de la Vice,,0,unmatched
Chacalla,18.0,94,fuzzy
Chacaralla,18.0,94,fuzzy
Chacpa,20.0,90,fuzzy
Chacralla,18.0,100,exact
Chacralla (de los padres),,0,unmatched
Chacralla Pampamarca,,0,unmatched
"Chacralla, cementerio general",18.0,95,exact_head
"Chacralla, iglesia vice-parroquial",18.0,95,exact_head
"Chacralla, iglesia viceparroquial",18.0,95,exact_head
"Chacralla, panteón",18.0,95,exact_head
"Chacralla, panteón general",18.0,95,exact_head
"Chacralla, pantéon",18.0,95,exact_head
"Chacralla, pueblo",18.0,95,exact_head
"Chacralla, pueblo, anexo",18.0,95,exact_head
"Chacralla, viceparroquia, pueblo",18.0,95,exact_head
Chalhuanca,19.0,100,exact
Challhuanca,19.0,95,fuzzy
Champa,74.0,100,exact
Chapa,20.0,100,exact
"Chapa, caserio",20.0,95,exact_head
Chara,20.0,80,fuzzy
Chaupicancha,71.0,100,exact
Chiccayse,105.0,100,exact
Chihuire,21.0,100,exact
Chilcas,73.0,100,exact
Chillanccay,22.0,100,exact
Chipao,23.0,100,exact
Chipau,23.0,100,exact
Chocorbos,72.0,100,exact
Chumpe,106.0,100,exact
Churbe,107.0,100,exact
Chuschi,7.0,100,exact
Ciuda de Ayacucho,,0,unmatched
Ciudad de Ayacucho,,0,unmatched
Ciudad de Huamanga,,0,unmatched
Cochas,75.0,100,exact
Colca,24.0,100,exact
Collay,76.0,100,exact
Coracora,25.0,100,exact
Cordoba,77.0,85,fuzzy
Cordova,77.0,100,exact
Doctrina de Aucara,,0,unmatched
Doctrina de Soras,,0,unmatched
Español de Aucará,,0,unmatched
Español de Chacralla,,0,unmatched
Español de Pampamarca,,0,unmatched
Espilco,,0,unmatched
Gavino,,0,unmatched
General,,0,unmatched
Guayanay,82.0,100,exact
Hishua,36.0,100,exact
Huacaña,60.0,100,exact
Huachuas,26.0,100,exact
Huaicahuacho,33.0,100,exact
Hualla,27.0,100,exact
Huamanga,9.0,100,exact
Huambalpa,78.0,100,exact
Huambo,108.0,100,exact
Huanacopampa,29.0,96,fuzzy
Huanca,30.0,85,fuzzy
Huancapi,30.0,100,exact
Huancaraylla,79.0,100,exact
Huancasancos,31.0,100,exact
Huanta,32.0,100,exact
Huaycahuacho,33.0,100,exact
Huaytara,83.0,100,exact
Huaytará,83.0,100,exact
Humalla,34.0,100,exact
Humari,58.0,83,fuzzy
Hurcaza (sic),,0,unmatched
Ica,35.0,100,exact
Iglesia Parroquial de Pampamarca,,0,unmatched
Iglesia de  Aucará,,0,unmatched
Iglesia de Aucará,,0,unmatched
Iglesia de Ishua,,0,unmatched
Iglesia de Pampamarca,,0,unmatched
Iglesia de Yshua,,0,unmatched
Iglesia viceparroquial de Chacralla,,0,unmatched
Illapata,61.0,100,exact
India,,0,unmatched
