place,manually_normalized_place,country,place_type
Acobamba,Acobamba,PE,city
Alcamenca,Alcamenca,PE,pueblo
Amaicca,Amaicca,PE,pueblo
Andamarca,Andamarca,PE,city
Antay,Antay,PE,pueblo
Aralla,Aralla,PE,pueblo
Aucara,Aucará,PE,city
Aucara Barrio de Mayo,Aucará,PE,city
Aucara Cabana,Cabana,PE,pueblo
Aucara Caserio de Visvicha,Visvicha,PE,pueblo
Aucara Estancia de Chapa,Chapa,PE,pueblo
Aucara Huaycahuacho,Huaycahuaycho,PE,city
Aucará,Aucará,PE,city
Ayacucho,Ayacucho,PE,city
Ayacuchoi,Ayacucho,PE,city
Barrio de Mayo,Aucará,PE,city
Cabana,Cabana,PE,city
Canaria,Canaria,PE,city
Cangallo,Cangallo,PE,city
Caralla,Caralla,PE,city
Carapo,Carapo,PE,city
Carmen Alto,Carmen Alto,PE,city
Caserios de Saicasa,Saicasa,PE,pueblo
Castilla,Castilla Puquio,PE,city
Cayara,Cayara,PE,city
Ccaralla,Chacralla,PE,city
Ccecca,Checca,PE,pueblo
Cecca,Checca,PE,pueblo
Cementerio General,Aucará,PE,city
Cementerio General de Aucará,Aucará,PE,city
Cementerio de Aucará,Aucará,PE,city
Cementerio de Pampamarca,Pampamarca,PE,city
Cementerio de Visvicha,,PE,city
Cementerio de las Punas de Visvicha,,PE,city
Cementerio general  Aucará,Aucará,PE,city
Cementerio general  Chacralla,Chacralla,PE,city
Cementerio general  Pampamarca,Pampamarca,PE,city
Cementerio general de Aucara,Aucará,PE,city
Cementerio general de Pampamarca,Pampamarca,PE,city
Cementerio general de la Vice,,PE,city
Chacalla,Chacalla,PE,city
Chacralla,Chacralla,PE,city
Chacralla Pampamarca,Chacralla,PE,city
Chalhuanca,Chalhuanca,PE,city
Challhuanca,Chalhuanca,PE,city
Chilcas,Chilcas,PE,city
Chipau,,PE,city
Chumpe,Chumpe,PE,city
Churbe,,PE,city
Ciuda de Ayacucho,Ayacucho,PE,city
Ciudad de Ayacucho,Ayacucho,PE,city
Ciudad de Huamanga,Ayacucho,PE,city
Colca,San Nicolás,PE,city
Cordoba,Córdova,PE,city
Cordova,Cordova,PE,city
Español de Aucará,Aucará,PE,city
Español de Pampamarca,Pampamarca,PE,city
Espilco,,PE,city
General,,PE,city
Huacaña,Huacaña,PE,city
Huaicahuacho,Huaycahuaycho,PE,city
Hualla,Huallatalloc,PE,city
Huamanga,Ayacucho,PE,city
Huanca,Huanca Santos,PE,city
Huanta,Huanta,PE,city
Huaycahuacho,Santa Ana de Huaycahuacho,PE,city
Huaytara,Huaytará,PE,city
Ica,Ica,PE,city
Iglesia Parroquial de Pampamarca,Pampamarca,PE,city
Iglesia de  Aucará,Aucará,PE,city
Iglesia de Aucará,Aucará,PE,city
Iglesia de Pampamarca,Pampamarca,PE,city
Iglesia de Yshua,Ishua,PE,city
India,,PE,city
India de Hishua,Ishua,PE,city
India de Pampamarca,Pampamarca,PE,city
Ishua,Ishua,PE,city
Jauja,Jauja,PE,city
Julcamarca,Julcamarca,PE,city
Laramate,Laramate,PE,city
Larcay,Larcay,PE,city
Lima,Lima,PE,city
Lucanas,Lucanas,PE,city
Mar,Cajamarca,PE,city
Mayobamba,Mayobamba,PE,city
Morcolla,Morcolla,PE,city
Moyobamba,Moyobamba,PE,city
Nasca,Provincia de Nazca,PE,city
Nazca,Provincia de Nazca,PE,city
Ocaña,Ocaña,PE,city
Pallcco,,PE,city
Pampa,Pampa Grande,PE,city
Pampamarca,Pampamarca,PE,city
Pampamarca Barrio de Mayo,Pampamarca,PE,city
Pampamarca Barrios de Tallcce,Pampamarca,PE,city
Pampamarca Caserio de Tallcce,Pampamarca,PE,city
Pampamarca Santa Ana,Pampamarca,PE,city
Parroquia de Aucara,Aucará,PE,city
Parroquia de Aucará,Aucará,PE,city
Puna,Puno,PE,city
Puna de Aucara,Aucará,PE,city
Punas de Aucará,Aucará,PE,city
Puquio,Puquio,PE,city
Querobamba,Querobamba,PE,city
Sacsamarca,Sacsamarca,PE,city
Saicasa,,PE,city
San Jeronimo,San Jeronimo De Tunan,PE,city
San Juan de Lucanas,San Juan,PE,city
Sancos,Huanca Santos,PE,city
Santa Ana,Santa Ana,PE,city
Santa Ana de Aucara,Santa Ana,PE,city
Sondondo,Sondondo,PE,city
Soras,Soras Pata,PE,city
Taccya,,PE,city
Templo de Aucará,Aucará,PE,city
Umaci,Umasi,PE,city
Umalla,,PE,city
Umasi,Umasi,PE,city
Urabamba,Urubamba,PE,city
Urccohuase,,PE,city
Viceparroquia de Chacralla,Chacralla,PE,city
Viceparroquia de Pampamarca,Pampamarca,PE,city
Vilcas,Vilcashuamán,PE,city
Villa de San Juan,Villa San Juan,PE,city
Visvicha,,PE,city
Yshua,Ishua,PE,city
iglesia santa,,PE,city
pantati,,PE,city
parroquia de,,PE,city
provincia Cangallo,Cangallo,PE,city
provincia de La Mar,,PE,city
santa iglesia,,PE,city
santa iglesia viceparroquia,,PE,city
santa iglesia viceparroquial,,PE,city
santa madre,,PE,city
viceparroquial,,PE,city
