Condición_legitimacy_status,Condición_marital_status,Condición_social_condition
,,
legitimo,,
legitimo,,
legitimo,,
,,
,,
ilegitimo,,
,,
legitimo,,
legitimo,,
ilegitimo,,
,,
legitimo,,
legitimo,,
,,
legitimo,,
legitimo,,
legitimo,,
,,
,,
ilegitimo,,
,,
,,
legitimo,,
,,
,,
legitimo,,
ilegitimo,,
legitimo,,
legitimo,,
,,
,,
legitimo,,
ilegitimo,,
,,
legitimo,,
,,
ilegitimo,,
ilegitimo,,
legitimo,,
,,
legitimo,,
,,
legitimo,,
,,
,,
,,
legitimo,,
,,
,,
legitimo,,
ilegitimo,,
,,
ilegitimo,,
,,
,,
legitimo,,
ilegitimo,,
legitimo,,
ilegitimo,,
legitimo,,
legitimo,,
,,
,,
ilegitimo,,
,,
,,
legitimo,,
,,
,,
legitimo,,
,,
legitimo,,
legitimo,,
legitimo,,
,,
legitimo,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
ilegitimo,,
legitimo,,
ilegitimo,,
,,
ilegitimo,,
legitimo,,
ilegitimo,,
ilegitimo,,
,,
ilegitimo,,
,,
ilegitimo,,
,,
,,
ilegitimo,,
,,
legitimo,,
legitimo,,
,,
,,
,,
,,
ilegitimo,,
ilegitimo,,
,,
ilegitimo,,
ilegitimo,,
ilegitimo,,
,,
legitimo,,
,,
,,
ilegitimo,,
legitimo,,
legitimo,,
,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
ilegitimo,,
legitimo,,
ilegitimo,,
legitimo,,
legitimo,,
legitimo,,
,,
,,
legitimo,,
legitimo,,
legitimo,,
,,
legitimo,,
,,
,,
legitimo,,
,,
ilegitimo,,
legitimo,,
legitimo,,
,,
,,
,,
,,
,,
,,
,,
legitimo,,
,,
,,
,,
legitimo,,
,,
,,
,,
,,
,,
,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
,,
legitimo,,
legitimo,,
ilegitimo,,
legitimo,,
,,
legitimo,,
,,
legitimo,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
legitimo,,
legitimo,,
,,
legitimo,,
,,
ilegitimo,,
legitimo,,
,,
,,
legitimo,,
,,
,,
legitimo,,
ilegitimo,,
ilegitimo,,
legitimo,,
,,
ilegitimo,,
,,
,,
ilegitimo,,
,,
,,
legitimo,,
ilegitimo,,
legitimo,,
,,
ilegitimo,,
,,
,,
ilegitimo,,
,,
,,
legitimo,,
,,
,,
,,
,,
ilegitimo,,
,,
,,
,,
legitimo,,
legitimo,,
,,
legitimo,,
legitimo,,
legitimo,,
,,
legitimo,,
,,
legitimo,,
legitimo,,
ilegitimo,,
,,
,,
,,
legitimo,,
,,
legitimo,,
,,
,,
legitimo,,
,,
,,tributario
,,
,,
ilegitimo,,
ilegitimo,,
ilegitimo,,
ilegitimo,,
,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
,,
,,
,,
ilegitimo,,
legitimo,,
legitimo,,
legitimo,,
,,
legitimo,,
,,
,,
,,
legitimo,,
,,
,,
,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
,,
legitimo,,
legitimo,,
,,
,,
,,
,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
ilegitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
,,
,,
ilegitimo,,
ilegitimo,,
,,
ilegitimo,,
,,
,,
,,
,,
,,
,,
